iter	Logloss
0	0.4955753153
1	0.397175251
2	0.3473319786
3	0.319994251
4	0.3047772043
5	0.2942155495
6	0.2883260495
7	0.2838056438
8	0.2805632105
9	0.2775884831
10	0.27573198
11	0.2740223942
12	0.2728003791
13	0.2718715181
14	0.2709621981
15	0.2704891363
16	0.2698844119
17	0.269288454
18	0.2689630901
19	0.2686868929
20	0.2683291216
21	0.2680474016
22	0.2678771021
23	0.2677415433
24	0.2675721778
25	0.2674134571
26	0.267255703
27	0.2670069611
28	0.2667797485
29	0.266685896
30	0.2665278268
31	0.2664032441
32	0.2663203549
33	0.2662455592
34	0.2661891645
35	0.2660826264
36	0.2659928917
37	0.2659367062
38	0.2658483484
39	0.2657512329
40	0.2656981722
41	0.2656390324
42	0.2655589234
43	0.26550746
44	0.2653764018
45	0.2653398188
46	0.2652555204
47	0.2652010576
48	0.2651504024
49	0.2651082183
50	0.2650601808
51	0.2649851091
52	0.2649435388
53	0.2648689919
54	0.2648330262
55	0.2647703378
56	0.2647481191
57	0.2647154053
58	0.2646803579
59	0.2646478592
60	0.264612116
61	0.2645519503
62	0.2645261822
63	0.2644826899
64	0.2644478815
65	0.2644246424
66	0.2643952549
67	0.2643673609
68	0.2643303663
69	0.2642926868
70	0.2642719576
71	0.2642304004
72	0.2641977231
73	0.2641761868
74	0.2641398598
75	0.2641213659
76	0.2640963425
77	0.2640469707
78	0.2640246524
79	0.2639992027
80	0.263967523
81	0.2639426806
82	0.2639147284
83	0.2638990014
84	0.2638750652
85	0.2638498224
86	0.2638215608
87	0.2637817085
88	0.2637576063
89	0.263728236
90	0.2637017289
91	0.2636828299
92	0.2636610353
93	0.263639502
94	0.2636169636
95	0.2635989823
96	0.263580432
97	0.2635487606
98	0.2635164625
99	0.2634923219
100	0.2634646774
101	0.2634484491
102	0.2634314683
103	0.2634039779
104	0.2633744903
105	0.2633537692
106	0.2633408367
107	0.2633155323
108	0.2632901111
109	0.2632685857
110	0.2632538482
111	0.2632392427
112	0.263215049
113	0.2631949171
114	0.2631815484
115	0.2631638734
116	0.2631459715
117	0.263108194
118	0.2630867278
119	0.2630636957
120	0.2630375034
121	0.2630213623
122	0.2630046001
123	0.2629789755
124	0.2629534759
125	0.2629303399
126	0.2629060768
127	0.2628812303
128	0.2628570159
129	0.2628245439
130	0.262803704
131	0.2627856826
132	0.2627571222
133	0.2627315378
134	0.2627146101
135	0.2626923566
136	0.2626714856
137	0.2626564813
138	0.2626331006
139	0.2626136723
140	0.2626019913
141	0.262580998
142	0.2625691671
143	0.2625462599
144	0.2625292753
145	0.2625096867
146	0.2624846529
147	0.2624712327
148	0.262456273
149	0.2624389858
150	0.2624264213
151	0.262409064
152	0.2623968274
153	0.2623780914
154	0.2623655725
155	0.2623518959
156	0.2623331591
157	0.2623172509
158	0.2622983148
159	0.2622853142
160	0.2622734033
161	0.2622606865
162	0.2622429974
163	0.2622249466
164	0.262210706
165	0.2621950686
166	0.2621875274
167	0.262166739
168	0.2621523333
169	0.2621337134
170	0.2621121601
171	0.2620947466
172	0.2620723935
173	0.2620442836
174	0.2620260288
175	0.2620099778
176	0.2619961166
177	0.261979696
178	0.2619686364
179	0.2619490897
180	0.2619312082
181	0.2619096237
182	0.261893797
183	0.2618758701
184	0.2618676677
185	0.2618579257
186	0.2618486649
187	0.2618374333
188	0.2618077486
189	0.2617984289
190	0.2617816419
191	0.2617639401
192	0.2617383528
193	0.2617304893
194	0.2617165132
195	0.2617074568
196	0.2616901195
197	0.2616775037
198	0.261662288
199	0.2616495176
200	0.2616345335
201	0.2616237229
202	0.2616080213
203	0.2615893406
204	0.2615768189
205	0.2615675716
206	0.2615494423
207	0.2615347463
208	0.2615145137
209	0.2614903873
210	0.2614743311
211	0.2614609331
212	0.2614437909
213	0.2614367379
214	0.2614270475
215	0.2614104803
216	0.2614008708
217	0.2613880794
218	0.2613696423
219	0.2613588765
220	0.2613415579
221	0.2613324949
222	0.2613155597
223	0.2612975714
224	0.2612791443
225	0.2612678744
226	0.2612543925
227	0.2612384164
228	0.2612272852
229	0.2612095862
230	0.2611931
231	0.2611753268
232	0.2611584765
233	0.261152408
234	0.261138153
235	0.2611294335
236	0.2611179587
237	0.2611089323
238	0.2610971899
239	0.2610822626
240	0.2610668167
241	0.2610574815
242	0.2610441564
243	0.2610280607
244	0.2610163282
245	0.2610039871
246	0.2609886398
247	0.2609755664
248	0.2609595487
249	0.2609428667
250	0.2609252096
251	0.2609097253
252	0.2608987767
253	0.2608816095
254	0.2608741328
255	0.2608711107
256	0.2608510916
257	0.2608362059
258	0.2608230189
259	0.2608078662
260	0.260801005
261	0.2607886759
262	0.2607682915
263	0.2607546587
264	0.2607372285
265	0.2607160992
266	0.260702432
267	0.260691928
268	0.2606762224
269	0.2606585622
270	0.2606447923
271	0.2606288067
272	0.260610393
273	0.2605991002
274	0.2605893482
275	0.2605795638
276	0.2605615876
277	0.2605472061
278	0.2605415399
279	0.2605309155
280	0.2605120182
281	0.2604995133
282	0.2604827171
283	0.2604632342
284	0.2604506541
285	0.2604411792
286	0.2604274557
287	0.2604190812
288	0.2604105852
289	0.2603981737
290	0.2603802587
291	0.260364031
292	0.2603557649
293	0.2603509059
294	0.2603401319
295	0.2603320817
296	0.260317883
297	0.2603052135
298	0.26029596
299	0.2602831606
300	0.2602702646
301	0.2602586117
302	0.2602489507
303	0.2602280229
304	0.2602151529
305	0.2602057168
306	0.2601929062
307	0.2601770711
308	0.2601702675
309	0.2601525516
310	0.2601351875
311	0.2601228123
312	0.2601159024
313	0.2601014888
314	0.2600864088
315	0.2600748632
316	0.2600664059
317	0.2600548071
318	0.2600438094
319	0.2600315501
320	0.2600157181
321	0.2600026125
322	0.25998687
323	0.2599734129
324	0.2599648711
325	0.2599502243
326	0.2599383837
327	0.2599263372
328	0.2599097523
329	0.2598946953
330	0.2598850657
331	0.2598734416
332	0.2598655182
333	0.2598536553
334	0.259834856
335	0.2598202971
336	0.2598034495
337	0.2597896879
338	0.2597799973
339	0.2597627149
340	0.2597506161
341	0.2597362958
342	0.2597245966
343	0.2597152312
344	0.2597009073
345	0.2596902438
346	0.2596830378
347	0.2596763735
348	0.2596692427
349	0.2596536998
350	0.2596409084
351	0.2596319573
352	0.2596220616
353	0.2596164179
354	0.259609728
355	0.259596835
356	0.2595898273
357	0.2595778285
358	0.2595629186
359	0.2595539485
360	0.2595393576
361	0.2595235405
362	0.2595146154
363	0.2595041949
364	0.2594877111
365	0.2594748181
366	0.2594659811
367	0.2594525161
368	0.2594400289
369	0.2594343253
370	0.2594196793
371	0.2594094919
372	0.2593927385
373	0.259382192
374	0.2593692465
375	0.2593549854
376	0.2593416276
377	0.2593292173
378	0.2593184441
379	0.2593129753
380	0.2593032926
381	0.2592910173
382	0.2592728077
383	0.2592560554
384	0.2592458302
385	0.2592357349
386	0.2592253183
387	0.2592093367
388	0.2591985743
389	0.2591809797
390	0.2591697747
391	0.2591593996
392	0.2591505234
393	0.2591367421
394	0.2591183922
395	0.2591089421
396	0.2591024816
397	0.2590949519
398	0.2590831301
399	0.2590746099
400	0.2590596454
401	0.2590453407
402	0.2590358814
403	0.2590254142
404	0.2590093287
405	0.2590016724
406	0.2589957025
407	0.2589889545
408	0.2589837996
409	0.2589729102
410	0.2589656141
411	0.2589494382
412	0.2589345565
413	0.2589202287
414	0.258909435
415	0.2588936885
416	0.2588822792
417	0.2588770311
418	0.2588650645
419	0.2588542759
420	0.2588399925
421	0.2588317986
422	0.2588198949
423	0.2588114919
424	0.2587960546
425	0.2587873102
426	0.2587741317
427	0.2587677683
428	0.2587567867
